1_F.3d_87.in.txt      gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.35
18_F.3d_921.in.txt    gpt-4o stability=0.70, accuracy=0.30; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
18_F.3d_1104.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
19_F.3d_405.in.txt    gpt-4o stability=0.60, accuracy=0.40; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
19_F.3d_486.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
19_F.3d_708.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
19_F.3d_828.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
19_F.3d_984.in.txt    gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.25
19_F.3d_1105.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
19_F.3d_1201.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
20_F.3d_154.in.txt    gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
20_F.3d_348.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
20_F.3d_580.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
20_F.3d_694.in.txt    gpt-4o stability=0.75, accuracy=0.25; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.20
20_F.3d_789.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
20_F.3d_960.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
20_F.3d_1144.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.95
20_F.3d_1300.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
20_F.3d_1387.in.txt   gpt-4o stability=0.60, accuracy=0.40; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.35
21_F.3d_113.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
21_F.3d_314.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
21_F.3d_336.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=0.90, accuracy=0.10; gemini-1.5 stability=1.00, accuracy=0.00
21_F.3d_607.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
21_F.3d_714.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.65
21_F.3d_868.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
21_F.3d_940.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
21_F.3d_1368.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
21_F.3d_1508.in.txt   gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=0.55, accuracy=0.55; gemini-1.5 stability=0.50, accuracy=0.50
22_F.3d_241.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
22_F.3d_277.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.75
22_F.3d_290.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.65, accuracy=0.65
22_F.3d_674.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
22_F.3d_859.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.65
22_F.3d_1029.in.txt   gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
22_F.3d_1527.in.txt   gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.30
22_F.3d_1570.in.txt   gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=0.80, accuracy=0.20; gemini-1.5 stability=0.55, accuracy=0.55
23_F.3d_4.in.txt      gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
23_F.3d_74.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.75
23_F.3d_94.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.85, accuracy=0.15; gemini-1.5 stability=0.65, accuracy=0.35
23_F.3d_143.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=0.70, accuracy=0.30; gemini-1.5 stability=0.95, accuracy=0.05
23_F.3d_167.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.55, accuracy=0.45
23_F.3d_250.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
23_F.3d_311.in.txt    gpt-4o stability=0.50, accuracy=0.50; claude-3.5 stability=0.75, accuracy=0.75; gemini-1.5 stability=0.95, accuracy=0.05
23_F.3d_593.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.10
23_F.3d_652.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
23_F.3d_1345.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
23_F.3d_1403.in.txt   gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.15
23_F.3d_1572.in.txt   gpt-4o stability=0.65, accuracy=0.35; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.50, accuracy=0.50
24_F.3d_292.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
24_F.3d_588.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
24_F.3d_795.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
24_F.3d_994.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
24_F.3d_1043.in.txt   gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.85
24_F.3d_1114.in.txt   gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.80
24_F.3d_1414.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
24_F.3d_1453.in.txt   gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
25_F.3d_223.in.txt    gpt-4o stability=0.55, accuracy=0.45; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.25
25_F.3d_229.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
25_F.3d_356.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.50, accuracy=0.50
25_F.3d_385.in.txt    gpt-4o stability=0.65, accuracy=0.35; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
25_F.3d_473.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
25_F.3d_743.in.txt    gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.65
25_F.3d_754.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
25_F.3d_761.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
25_F.3d_804.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.15
25_F.3d_862.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.55, accuracy=0.55
25_F.3d_1259.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
25_F.3d_1406.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
25_F.3d_1481.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
26_F.3d_402.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
26_F.3d_856.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.90
26_F.3d_1368.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
26_F.3d_1439.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
26_F.3d_1523.in.txt   gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.85
26_F.3d_1562.in.txt   gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_31.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.70
27_F.3d_80.in.txt     gpt-4o stability=0.55, accuracy=0.55; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_142.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=0.80, accuracy=0.20; gemini-1.5 stability=0.85, accuracy=0.15
27_F.3d_232.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
27_F.3d_301.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.35
27_F.3d_316.in.txt    gpt-4o stability=0.55, accuracy=0.55; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
27_F.3d_374.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
27_F.3d_457.in.txt    gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_544.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.75, accuracy=0.75
27_F.3d_605.in.txt    gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
27_F.3d_623.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_834.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
27_F.3d_877.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_985.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_996.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.25
27_F.3d_1174.in.txt   gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=0.85, accuracy=0.15; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_1327.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.15
27_F.3d_1415.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
27_F.3d_1571.in.txt   gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
28_F.3d_120.in.txt    gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
28_F.3d_130.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
28_F.3d_151.in.txt    gpt-4o stability=0.55, accuracy=0.55; claude-3.5 stability=0.50, accuracy=0.50; gemini-1.5 stability=1.00, accuracy=0.00
28_F.3d_201.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
28_F.3d_433.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.10
28_F.3d_452.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
28_F.3d_766.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.70, accuracy=0.30; gemini-1.5 stability=0.80, accuracy=0.20
28_F.3d_795.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
28_F.3d_855.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
28_F.3d_859.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.70, accuracy=0.70
28_F.3d_985.in.txt    gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.70, accuracy=0.70
28_F.3d_1013.in.txt   gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.20
28_F.3d_1478.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
29_F.3d_112.in.txt    gpt-4o stability=0.65, accuracy=0.65; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
29_F.3d_229.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
29_F.3d_324.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
29_F.3d_611.in.txt    gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
29_F.3d_1271.in.txt   gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
29_F.3d_1287.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
30_F.3d_51.in.txt     gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.55, accuracy=0.55; gemini-1.5 stability=1.00, accuracy=0.00
30_F.3d_148.in.txt    gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=0.85, accuracy=0.85; gemini-1.5 stability=1.00, accuracy=0.00
30_F.3d_169.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
30_F.3d_190.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.90
30_F.3d_708.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.65, accuracy=0.65
30_F.3d_714.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.80
30_F.3d_913.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
30_F.3d_1077.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
30_F.3d_1195.in.txt   gpt-4o stability=0.60, accuracy=0.40; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.90
30_F.3d_1203.in.txt   gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=0.65, accuracy=0.35; gemini-1.5 stability=0.50, accuracy=0.50
30_F.3d_1209.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
30_F.3d_1420.in.txt   gpt-4o stability=0.60, accuracy=0.40; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.25
30_F.3d_1510.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.75, accuracy=0.75; gemini-1.5 stability=0.70, accuracy=0.30
31_F.3d_407.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
31_F.3d_595.in.txt    gpt-4o stability=0.90, accuracy=0.90; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.85
31_F.3d_634.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
31_F.3d_727.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
31_F.3d_794.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.80, accuracy=0.20
31_F.3d_837.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
31_F.3d_1067.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
31_F.3d_1135.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.90, accuracy=0.10
31_F.3d_1341.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.85, accuracy=0.85
31_F.3d_1467.in.txt   gpt-4o stability=0.85, accuracy=0.15; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
32_F.3d_127.in.txt    gpt-4o stability=0.60, accuracy=0.60; claude-3.5 stability=0.70, accuracy=0.30; gemini-1.5 stability=1.00, accuracy=0.00
32_F.3d_160.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.80
32_F.3d_369.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.90, accuracy=0.10
32_F.3d_376.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
32_F.3d_592.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=0.00
32_F.3d_1007.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
32_F.3d_1094.in.txt   gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
32_F.3d_1138.in.txt   gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
32_F.3d_1240.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
32_F.3d_1258.in.txt   gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.25
32_F.3d_1479.in.txt   gpt-4o stability=0.70, accuracy=0.70; claude-3.5 stability=0.60, accuracy=0.40; gemini-1.5 stability=0.70, accuracy=0.70
33_F.3d_265.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.55, accuracy=0.45
33_F.3d_330.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
33_F.3d_368.in.txt    gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
33_F.3d_509.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
33_F.3d_554.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
33_F.3d_615.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.95
33_F.3d_625.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.95, accuracy=0.05
33_F.3d_823.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
33_F.3d_840.in.txt    gpt-4o stability=0.95, accuracy=0.95; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
33_F.3d_910.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
33_F.3d_944.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=0.80, accuracy=0.80; gemini-1.5 stability=1.00, accuracy=0.00
33_F.3d_963.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
33_F.3d_1037.in.txt   gpt-4o stability=0.85, accuracy=0.85; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.75, accuracy=0.25
33_F.3d_1047.in.txt   gpt-4o stability=0.95, accuracy=0.05; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
33_F.3d_1079.in.txt   gpt-4o stability=0.55, accuracy=0.55; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=1.00
33_F.3d_1153.in.txt   gpt-4o stability=0.75, accuracy=0.75; claude-3.5 stability=0.85, accuracy=0.85; gemini-1.5 stability=0.90, accuracy=0.90
33_F.3d_1244.in.txt   gpt-4o stability=0.75, accuracy=0.25; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.95, accuracy=0.05
34_F.3d_220.in.txt    gpt-4o stability=1.00, accuracy=0.00; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=1.00, accuracy=0.00
34_F.3d_635.in.txt    gpt-4o stability=0.80, accuracy=0.80; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=0.85, accuracy=0.15
34_F.3d_714.in.txt    gpt-4o stability=1.00, accuracy=1.00; claude-3.5 stability=1.00, accuracy=1.00; gemini-1.5 stability=1.00, accuracy=1.00
34_F.3d_731.in.txt    gpt-4o stability=0.90, accuracy=0.10; claude-3.5 stability=1.00, accuracy=0.00; gemini-1.5 stability=0.80, accuracy=0.20
